entity,id,active,dateCreated,lastCheck,lastChecked,routes,rt,vid
bus,status_7827,TRUE,2020-04-03T22:47:02.655Z,2020-04-03T22:47:02.556Z,2020-04-03T22:47:02.655Z,"[  { ""S"" : ""981"" }]",981,7827
bus,status_7828,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.778Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""171"" }]",171,7828
bus,status_9604,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.638Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""152"" }]",152,9604
bus,status_9606,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.578Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""151"" }]",151,9606
bus,status_9609,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.578Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""151"" }]",151,9609
bus,status_9612,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.577Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""401"" }]",401,9612
bus,status_9614,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.778Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""171"" }]",171,9614
bus,status_9618,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.040Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""308"" }]",308,9618
bus,status_9622,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.160Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""334"" }]",334,9622
bus,status_9624,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.577Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""401"" }]",401,9624
bus,status_9625,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.579Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""402"" }]",402,9625
bus,status_9628,TRUE,2020-04-03T19:47:00.812Z,2020-04-03T19:46:59.332Z,2020-04-03T19:47:00.812Z,"[  { ""S"" : ""394"" }]",394,9628
bus,status_9637,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.420Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""305"" }]",305,9637
bus,status_9639,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.098Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""321"" }]",321,9639
bus,status_9641,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.902Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""642"" }]",642,9641
bus,status_9646,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.579Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""402"" }]",402,9646
bus,status_9650,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.579Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""402"" }]",402,9650
bus,status_9652,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.222Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""393"" }]",393,9652
bus,status_9655,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.778Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""171"" }]",171,9655
bus,status_9656,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.577Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""401"" }]",401,9656
bus,status_9659,TRUE,2020-04-03T19:24:22.256Z,2020-04-03T19:24:20.459Z,2020-04-03T19:24:22.256Z,"[  { ""S"" : ""599"" }]",599,9659
bus,status_9663,TRUE,2020-04-03T18:59:48.065Z,2020-04-03T18:59:46.046Z,2020-04-03T18:59:48.065Z,"[  { ""S"" : ""927"" }]",927,9663
bus,status_9664,TRUE,2020-04-03T19:47:00.812Z,2020-04-03T19:46:59.552Z,2020-04-03T19:47:00.812Z,"[  { ""S"" : ""622"" }]",622,9664
bus,status_9666,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.717Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""161"" }]",161,9666
bus,status_9669,TRUE,2020-04-03T19:16:30.568Z,2020-04-03T19:16:28.169Z,2020-04-03T19:16:30.568Z,"[  { ""S"" : ""396"" }]",396,9669
bus,status_9670,TRUE,2020-04-03T19:47:00.812Z,2020-04-03T19:46:59.891Z,2020-04-03T19:47:00.812Z,"[  { ""S"" : ""641"" }]",641,9670
bus,status_9673,TRUE,2020-04-03T15:34:11.179Z,2020-04-03T15:34:08.037Z,2020-04-03T15:34:11.179Z,"[  { ""S"" : ""585"" }]",585,9673
bus,status_9677,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.762Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""552"" }]",552,9677
bus,status_9678,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:34.578Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""983"" }]",983,9678
bus,status_9679,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:34.817Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""950"" }]",950,9679
bus,status_9682,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.459Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""553"" }]",553,9682
bus,status_9683,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.639Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""422"" }]",422,9683
bus,status_9684,TRUE,2020-04-03T15:34:11.179Z,2020-04-03T15:34:08.137Z,2020-04-03T15:34:11.179Z,"[  { ""S"" : ""559"" }]",559,9684
bus,status_9685,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.637Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""423"" }]",423,9685
bus,status_9686,TRUE,2020-04-03T18:59:48.065Z,2020-04-03T18:59:45.968Z,2020-04-03T18:59:48.065Z,"[  { ""S"" : ""980"" }]",980,9686
bus,status_9687,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:33.100Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""505"" }]",505,9687
bus,status_9689,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.698Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""424"" }]",424,9689
bus,status_9701,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.480Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""101"" }]",101,9701
bus,status_9712,TRUE,2020-04-03T21:47:02.984Z,2020-04-03T21:47:02.862Z,2020-04-03T21:47:02.984Z,"[  { ""S"" : ""634"" }]",634,9712
bus,status_9713,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.580Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""623"" }]",623,9713
bus,status_9718,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.700Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""651"" }]",651,9718
bus,status_9720,TRUE,2020-04-03T19:47:00.812Z,2020-04-03T19:46:59.733Z,2020-04-03T19:47:00.812Z,"[  { ""S"" : ""624"" }]",624,9720
bus,status_9721,TRUE,2020-04-03T19:47:00.812Z,2020-04-03T19:47:00.331Z,2020-04-03T19:47:00.812Z,"[  { ""S"" : ""631"" }]",631,9721
